Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-10-26 00:00,2.182,,1,0,0,0,p
2018-10-26 00:06,2.244,0.020,1,0,0,0,p
2018-10-26 00:12,2.234,0.013,1,0,0,0,p
2018-10-26 00:18,2.306,0.013,1,0,0,0,p
2018-10-26 00:24,2.306,0.023,1,0,0,0,p
2018-10-26 00:30,2.323,0.026,0,0,0,0,p
2018-10-26 00:36,2.346,0.023,0,0,0,0,p
2018-10-26 00:42,2.346,0.016,1,0,0,0,p
2018-10-26 00:48,2.369,0.013,0,0,0,0,p
2018-10-26 00:54,2.395,0.020,0,0,0,0,p
2018-10-26 01:00,2.431,0.013,1,0,0,0,p
2018-10-26 01:06,2.431,0.016,1,0,0,0,p
2018-10-26 01:12,2.464,0.013,0,0,0,0,p
2018-10-26 01:18,2.487,0.010,1,0,0,0,p
2018-10-26 01:24,2.523,0.013,0,0,0,0,p
2018-10-26 01:30,2.523,0.013,1,0,0,0,p
2018-10-26 01:36,2.543,0.013,0,0,0,0,p
2018-10-26 01:42,2.569,0.010,0,0,0,0,p
2018-10-26 01:48,2.569,0.010,0,0,0,0,p
2018-10-26 01:54,2.641,0.010,1,0,0,0,p
2018-10-26 02:00,2.605,0.010,1,0,0,0,p
2018-10-26 02:06,2.657,0.010,0,0,0,0,p
2018-10-26 02:12,2.628,0.030,1,0,0,0,p
2018-10-26 02:18,2.697,0.095,0,0,0,0,p
2018-10-26 02:24,2.677,0.039,1,0,0,0,p
2018-10-26 02:30,2.707,0.030,0,0,0,0,p
2018-10-26 02:36,2.710,0.013,1,0,0,0,p
2018-10-26 02:42,2.713,0.010,1,0,0,0,p
2018-10-26 02:48,2.730,0.007,1,0,0,0,p
2018-10-26 02:54,2.720,0.010,1,0,0,0,p
2018-10-26 03:00,2.746,0.007,1,0,0,0,p
2018-10-26 03:06,2.723,0.007,1,0,0,0,p
2018-10-26 03:12,2.759,0.010,1,0,0,0,p
2018-10-26 03:18,2.746,0.007,1,0,0,0,p
2018-10-26 03:24,2.759,0.013,1,0,0,0,p
2018-10-26 03:30,2.759,0.010,1,0,0,0,p
2018-10-26 03:36,2.805,0.010,1,0,0,0,p
2018-10-26 03:42,2.762,0.013,1,0,0,0,p
2018-10-26 03:48,2.789,0.010,1,0,0,0,p
2018-10-26 03:54,2.779,0.010,1,0,0,0,p
2018-10-26 04:00,2.746,0.010,1,0,0,0,p
2018-10-26 04:06,2.772,0.013,0,0,0,0,p
2018-10-26 04:12,2.772,0.013,1,0,0,0,p
2018-10-26 04:18,2.759,0.013,1,0,0,0,p
2018-10-26 04:24,2.772,0.013,1,0,0,0,p
2018-10-26 04:30,2.782,0.013,1,0,0,0,p
2018-10-26 04:36,2.762,0.016,1,0,0,0,p
2018-10-26 04:42,2.769,0.023,1,0,0,0,p
2018-10-26 04:48,2.756,0.026,0,0,0,0,p
2018-10-26 04:54,2.766,0.016,1,0,0,0,p
2018-10-26 05:00,2.769,0.016,1,0,0,0,p
2018-10-26 05:06,2.772,0.016,1,0,0,0,p
2018-10-26 05:12,2.795,0.016,1,0,0,0,p
2018-10-26 05:18,2.782,0.016,1,0,0,0,p
2018-10-26 05:24,2.792,0.016,1,0,0,0,p
2018-10-26 05:30,2.766,0.013,1,0,0,0,p
2018-10-26 05:36,2.753,0.013,1,0,0,0,p
2018-10-26 05:42,2.753,0.010,1,0,0,0,p
2018-10-26 05:48,2.743,0.013,1,0,0,0,p
2018-10-26 05:54,2.746,0.016,0,0,0,0,p
2018-10-26 06:00,2.740,0.013,1,0,0,0,p
2018-10-26 06:06,2.710,0.013,1,0,0,0,p
2018-10-26 06:12,2.726,0.013,1,0,0,0,p
